;file;condition;lab
400;s.495;B;lab2
401;s.152;A;lab2
402;s.124;A;lab3
403;s.263;A;lab1
404;s.234;A;lab2
405;s.38;A;lab3
406;s.559;B;lab3
407;s.46;A;lab1
408;s.188;A;lab2
409;s.433;B;lab2
410;s.140;A;lab3
411;s.89;A;lab3
412;s.427;B;lab2
413;s.150;A;lab1
414;s.557;B;lab3
415;s.183;A;lab3
416;s.419;B;lab2
417;s.584;B;lab1
418;s.307;B;lab2
419;s.176;A;lab3
420;s.34;A;lab3
421;s.434;B;lab1
422;s.6;A;lab2
423;s.144;A;lab2
424;s.161;A;lab3
425;s.475;B;lab3
426;s.293;A;lab2
427;s.595;B;lab1
428;s.26;A;lab1
429;s.323;B;lab3
430;s.549;B;lab2
431;s.458;B;lab1
432;s.395;B;lab1
433;s.304;B;lab3
434;s.90;A;lab1
435;s.312;B;lab3
436;s.272;A;lab3
437;s.271;A;lab3
438;s.166;A;lab2
439;s.449;B;lab1
440;s.233;A;lab1
441;s.44;A;lab2
442;s.322;B;lab2
443;s.100;A;lab3
444;s.76;A;lab1
445;s.69;A;lab3
446;s.346;B;lab1
447;s.66;A;lab2
448;s.364;B;lab3
449;s.511;B;lab2
450;s.208;A;lab3
451;s.5;A;lab3
452;s.456;B;lab1
453;s.585;B;lab1
454;s.527;B;lab1
455;s.262;A;lab1
456;s.556;B;lab3
457;s.20;A;lab1
458;s.540;B;lab3
459;s.361;B;lab1
460;s.210;A;lab2
461;s.257;A;lab2
462;s.235;A;lab2
463;s.576;B;lab1
464;s.116;A;lab1
465;s.397;B;lab2
466;s.228;A;lab2
467;s.388;B;lab1
468;s.50;A;lab2
469;s.494;B;lab1
470;s.537;B;lab2
471;s.593;B;lab2
472;s.259;A;lab3
473;s.138;A;lab2
474;s.469;B;lab2
475;s.103;A;lab3
476;s.70;A;lab2
477;s.329;B;lab1
478;s.211;A;lab3
479;s.542;B;lab2
480;s.244;A;lab1
481;s.299;A;lab2
482;s.114;A;lab1
483;s.577;B;lab3
484;s.407;B;lab1
485;s.122;A;lab2
486;s.67;A;lab2
487;s.288;A;lab2
488;s.289;A;lab2
489;s.145;A;lab3
490;s.126;A;lab3
491;s.248;A;lab2
492;s.295;A;lab2
493;s.92;A;lab1
494;s.313;B;lab3
495;s.87;A;lab3
496;s.325;B;lab2
497;s.95;A;lab2
498;s.482;B;lab1
499;s.438;B;lab1
500;s.74;A;lab1
501;s.408;B;lab3
502;s.374;B;lab3
503;s.338;B;lab2
504;s.83;A;lab3
505;s.521;B;lab2
506;s.441;B;lab2
507;s.15;A;lab1
508;s.417;B;lab1
509;s.551;B;lab1
510;s.362;B;lab3
511;s.478;B;lab2
512;s.586;B;lab1
513;s.594;B;lab3
514;s.476;B;lab3
515;s.195;A;lab3
516;s.467;B;lab2
517;s.389;B;lab3
518;s.327;B;lab2
519;s.591;B;lab1
520;s.474;B;lab3
521;s.398;B;lab3
522;s.84;A;lab2
523;s.570;B;lab1
524;s.355;B;lab2
525;s.372;B;lab3
526;s.592;B;lab1
527;s.381;B;lab3
528;s.470;B;lab3
529;s.180;A;lab3
530;s.205;A;lab1
531;s.30;A;lab3
532;s.12;A;lab3
533;s.430;B;lab1
534;s.404;B;lab1
535;s.337;B;lab2
536;s.587;B;lab1
537;s.328;B;lab3
538;s.10;A;lab1
539;s.597;B;lab3
540;s.80;A;lab1
541;s.384;B;lab1
542;s.413;B;lab3
543;s.477;B;lab1
544;s.524;B;lab2
545;s.266;A;lab2
546;s.290;A;lab1
547;s.40;A;lab1
548;s.529;B;lab3
549;s.170;A;lab1
550;s.436;B;lab2
551;s.445;B;lab1
552;s.285;A;lab1
553;s.492;B;lab2
554;s.547;B;lab3
555;s.190;A;lab2
556;s.53;A;lab2
557;s.415;B;lab2
558;s.532;B;lab1
559;s.207;A;lab3
560;s.219;A;lab1
561;s.106;A;lab1
562;s.241;A;lab2
563;s.439;B;lab2
564;s.279;A;lab2
565;s.421;B;lab2
566;s.424;B;lab3
567;s.162;A;lab3
568;s.204;A;lab2
569;s.173;A;lab3
570;s.96;A;lab3
571;s.105;A;lab3
572;s.442;B;lab2
573;s.187;A;lab1
574;s.568;B;lab3
575;s.485;B;lab3
576;s.528;B;lab2
577;s.268;A;lab3
578;s.575;B;lab2
579;s.321;B;lab2
580;s.174;A;lab3
581;s.47;A;lab3
582;s.284;A;lab3
583;s.63;A;lab1
584;s.391;B;lab1
585;s.461;B;lab1
586;s.359;B;lab3
587;s.117;A;lab2
588;s.19;A;lab1
589;s.531;B;lab2
590;s.164;A;lab1
591;s.446;B;lab1
592;s.264;A;lab1
593;s.426;B;lab3
594;s.132;A;lab2
595;s.431;B;lab2
596;s.146;A;lab3
597;s.141;A;lab1
598;s.501;B;lab3
599;s.422;B;lab3
