;Conditions
09CPTAC_1; Not Reported
09CPTAC_2;Ovarian Tumor Sample
09CPTAC_3; Solid Tissue Normal
09CPTAC_4; Primary Tumor
09CPTAC_5; Primary Tumor
09CPTAC_6; Primary Tumor
09CPTAC_7; Primary Tumor
09CPTAC_8; Primary Tumor
09CPTAC_9; Solid Tissue Normal
09CPTAC_10; Primary Tumor
10CPTAC_1; Not Reported
10CPTAC_2; Primary Tumor
10CPTAC_3; Solid Tissue Normal
10CPTAC_4; Primary Tumor
10CPTAC_5; Primary Tumor
10CPTAC_6; Primary Tumor
10CPTAC_7; Solid Tissue Normal
10CPTAC_8; Primary Tumor
10CPTAC_9; Primary Tumor
10CPTAC_10;Ovarian Tumor Sample
